Keyword,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
budget calculator,EUR,,50000.0,0%,0%,Low,19,1.25,3.90,,,,,,,,,,,,,,,,
budget planner,EUR,,50000.0,0%,0%,High,100,1.37,5.35,,,,,,,,,,,,,,,,
coast fire calculator,EUR,,50000.0,0%,0%,Low,8,1.15,3.04,,,,,,,,,,,,,,,,
financial ledger,EUR,,50000.0,0%,0%,Low,11,0.85,23.62,,,,,,,,,,,,,,,,
fire calculator,EUR,,50000.0,0%,0%,Low,21,0.64,2.61,,,,,,,,,,,,,,,,
retirement financial planning,EUR,,50000.0,900%,900%,Low,3,5.09,23.79,,,,,,,,,,,,,,,,
barista fire,EUR,,5000.0,0%,0%,Low,0,,,,,,,,,,,,,,,,,,
barista fire calculator,EUR,,5000.0,0%,0%,Low,2,1.43,5.20,,,,,,,,,,,,,,,,
budget management,EUR,,5000.0,900%,0%,Low,20,2.72,11.11,,,,,,,,,,,,,,,,
budget planning app,EUR,,5000.0,0%,0%,Low,32,1.57,6.16,,,,,,,,,,,,,,,,
budget planning online,EUR,,5000.0,-90%,-90%,Medium,57,2.36,7.54,,,,,,,,,,,,,,,,
budget tracker,EUR,,5000.0,0%,0%,High,100,2.47,10.19,,,,,,,,,,,,,,,,
budgeting for beginners,EUR,,5000.0,0%,0%,High,85,1.69,6.77,,,,,,,,,,,,,,,,
budgeting tips,EUR,,5000.0,0%,0%,Low,11,1.06,5.05,,,,,,,,,,,,,,,,
cash flow calculator,EUR,,5000.0,0%,0%,Low,17,1.33,4.80,,,,,,,,,,,,,,,,
coast fire,EUR,,5000.0,-90%,0%,Low,4,1.39,4.34,,,,,,,,,,,,,,,,
expense management,EUR,,5000.0,900%,0%,Low,29,10.25,41.44,,,,,,,,,,,,,,,,
expense tracker,EUR,,5000.0,0%,0%,High,98,4.82,18.33,,,,,,,,,,,,,,,,
financial planning tool,EUR,,5000.0,900%,0%,Low,6,4.47,19.65,,,,,,,,,,,,,,,,
